Регионы,собаки: (02.10.2021 – 02.10.2022)
Ненецкий автономный округ,100
Сахалинская область,94
Камчатский край,91
Чукотский автономный округ,90
Псковская область,89
Хабаровский край,89
Еврейская автономная область,88
Тульская область,85
Республика Карелия,85
Ленинградская область,83
Забайкальский край,82
Магаданская область,82
Республика Саха (Якутия),81
Калининградская область,81
Смоленская область,80
Краснодарский край,79
Архангельская область,79
Белгородская область,79
Мурманская область,79
Иркутская область,79
Амурская область,78
Республика Хакасия,78
Костромская область,78
Орловская область,78
Республика Коми,78
Ярославская область,77
Приморский край,77
Брянская область,76
Вологодская область,76
Тверская область,75
Волгоградская область,75
Рязанская область,75
Калужская область,75
город Москва,75
Липецкая область,75
Астраханская область,74
Новгородская область,74
Республика Адыгея,73
Алтайский край,73
Владимирская область,73
Московская область,73
Кемеровская область,72
Кировская область,72
Республика Северная Осетия-Алания,72
Курганская область,72
город Санкт-Петербург,71
Свердловская область,71
Омская область,71
Ростовская область,71
Томская область,71
Ивановская область,71
Республика Бурятия,71
Саратовская область,71
Республика Алтай,71
Оренбургская область,70
Тамбовская область,69
Тюменская область,69
Курская область,68
Пермский край,68
Новосибирская область,68
Самарская область,67
Ставропольский край,67
Республика Тува,66
Пензенская область,66
Республика Калмыкия,65
Воронежская область,65
республика Удмуртия,65
Красноярский край,64
Ульяновская область,64
Челябинская область,63
Нижегородская область,63
Республика Марий Эл,63
Ханты-Мансийский автономный округ,63
Кабардино-Балкарская Республика,62
Карачаево-Черкесская Республика,61
Республика Мордовия,56
Республика Башкортостан,55
Республика Татарстан,55
Чувашская Республика,53
Ямало-Ненецкий автономный округ,53
Республика Дагестан,34
Республика Ингушетия,26
Чеченская Республика,25
